scientific_name
Acer negundo L.
Ailanthus altissima (Mill.) Swingle
Alternanthera philoxeroides (Mart.) Griseb.
Aponogeton distachyos L.f.
Arundo donax L.
Asclepias syriaca L.
Azolla filiculoides Lam.
Baccharis halimifolia L.
Cabomba caroliniana A.Gray
Carpobrotus N.E.Br.
Cotoneaster horizontalis Decne.
Egeria densa Planch.
Eichhornia crassipes (Mart.) Solms
Elaeagnus angustifolia L.
Elodea canadensis Michx.
Elodea nuttallii (Planch.) H.St.John
Fallopia baldschuanica (Regel) Holub
Fraxinus pennsylvanica Marshall
Gymnocoronis spilanthoides DC.
Helianthus tuberosus L.
Helianthus ×laetiflorus Pers.
Heracleum mantegazzianum Sommier & Levier
Hydrilla verticillata (L.f.) Royle
Hydrocotyle ranunculoides L.fil.
Impatiens capensis Meerb.
Impatiens glandulifera Royle
Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal
Laburnum anagyroides Medik.
Lagarosiphon major (Ridl.) Moss
Lemna minuta Kunth
Lemna turionifera Landolt
Limnobium laevigatum (Humb. & Bonpl. ex Willd.) Heine
Ludwigia grandiflora (Michx.) Greuter & Burdet
Ludwigia peploides (Kunth) P.H.Raven
Mahonia aquifolium (Pursh) Nutt.
Myriophyllum aquaticum (Vell.) Verdc.
Myriophyllum heterophyllum Michx.
Myriophyllum rubricaule Valk. & Duist.
Parthenocissus inserta (A.Kern.) Fritsch
Parthenocissus quinquefolia (L.) Planch.
Parthenocissus tricuspidata (Siebold & Zucc.) Planch.
Pistia stratiotes L.
Prunus laurocerasus L.
Prunus serotina Ehrh.
Reynoutria japonica Houtt.
Reynoutria sachalinensis (F.Schmidt) Nakai
Reynoutria ×bohemica Chrtek & Chrtková
Rhus typhina L.
Robinia pseudoacacia L.
Rosa rugosa Thunb.
Rubus armeniacus Focke
Rudbeckia laciniata L.
Salvinia ×molesta D.S.Mitch.
Solidago canadensis L.
Solidago gigantea Aiton
Spiraea alba Du Roi
Spiraea douglasii Hook.
Spiraea salicifolia L.
Spiraea tomentosa L.
Spiraea ×billardii Hérincq
