language,license,rightsHolder,datasetID,institutionCode,datasetName,taxonID,scientificName,kingdom,taxonRank
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/52b8h9,INBO,De Vlaamse Waterweg target species list,dvw-target-list:taxon:144da6d1e1e34060d579cf7981872a92,Acer negundo L.,Plantae,species
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/52b8h9,INBO,De Vlaamse Waterweg target species list,dvw-target-list:taxon:dc1a9c7d8ecbea2c17659b65aac590ef,Ailanthus altissima (Mill.) Swingle,Plantae,species
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/52b8h9,INBO,De Vlaamse Waterweg target species list,dvw-target-list:taxon:b7674f5e6e0f6beed1f1360ed992f885,Alternanthera philoxeroides (Mart.) Griseb.,Plantae,species
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/52b8h9,INBO,De Vlaamse Waterweg target species list,dvw-target-list:taxon:cc2e5618d0bd66a8847d37ad2ca30567,Aponogeton distachyos L.f.,Plantae,species
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/52b8h9,INBO,De Vlaamse Waterweg target species list,dvw-target-list:taxon:e1997f351363626fcab7e94e3a4be505,Arundo donax L.,Plantae,species
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/52b8h9,INBO,De Vlaamse Waterweg target species list,dvw-target-list:taxon:a75a5b3dd389493da0a2d178ed1d304c,Asclepias syriaca L.,Plantae,species
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/52b8h9,INBO,De Vlaamse Waterweg target species list,dvw-target-list:taxon:a29a2757e842b5860c1f4d0985765ec6,Azolla filiculoides Lam.,Plantae,species
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/52b8h9,INBO,De Vlaamse Waterweg target species list,dvw-target-list:taxon:39645efd6ea88c7d8f4dc15682fd846f,Baccharis halimifolia L.,Plantae,species
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/52b8h9,INBO,De Vlaamse Waterweg target species list,dvw-target-list:taxon:ea766634c55676ed976406ac0272e3fb,Cabomba caroliniana A.Gray,Plantae,species
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/52b8h9,INBO,De Vlaamse Waterweg target species list,dvw-target-list:taxon:1f27f30466bf8d31e55abb674d056c17,Carpobrotus N.E.Br.,Plantae,
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/52b8h9,INBO,De Vlaamse Waterweg target species list,dvw-target-list:taxon:bd488bbf4ef93c4f0491f7a29dbe5da7,Cotoneaster horizontalis Decne.,Plantae,species
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/52b8h9,INBO,De Vlaamse Waterweg target species list,dvw-target-list:taxon:e0c9e44379e9b574f8a2aced7a621b28,Egeria densa Planch.,Plantae,species
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/52b8h9,INBO,De Vlaamse Waterweg target species list,dvw-target-list:taxon:a2cec2b346f59eae8fe00ebf20ad3517,Eichhornia crassipes (Mart.) Solms,Plantae,species
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/52b8h9,INBO,De Vlaamse Waterweg target species list,dvw-target-list:taxon:6d63efc1daf3d05378d5a2390405c287,Elaeagnus angustifolia L.,Plantae,species
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/52b8h9,INBO,De Vlaamse Waterweg target species list,dvw-target-list:taxon:64832181789007d7acbc124234a65f8c,Elodea canadensis Michx.,Plantae,species
